epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,735.286,1.46738,2.48344,1.56677,0.43561,0.38975,0.35446,0.16399,1.79415,2.73293,1.79649,0.000660494,0.000660494,0.000660494
2,1442.2,1.63493,2.24713,1.69624,0.39594,0.39416,0.31839,0.13209,2.13761,3.23245,2.31299,0.00131402,0.00131402,0.00131402
3,2138.05,1.71891,2.15884,1.77374,0.39413,0.22259,0.2231,0.09282,2.58705,3.23897,2.5849,0.00195435,0.00195435,0.00195435
4,2820.85,1.70674,2.10179,1.76893,0.46534,0.33887,0.31763,0.13752,2.1269,3.68859,2.22173,0.0019406,0.0019406,0.0019406
5,3512.07,1.63082,1.97008,1.71331,0.713,0.43854,0.5338,0.27318,1.85223,2.06817,1.97591,0.0019208,0.0019208,0.0019208
6,4209.02,1.6087,1.86198,1.68031,0.64095,0.47841,0.56703,0.29813,1.8558,1.94703,1.92893,0.001901,0.001901,0.001901
7,4915.74,1.54781,1.71663,1.62224,0.71293,0.55482,0.62151,0.30831,1.81443,1.82133,1.92367,0.0018812,0.0018812,0.0018812
8,5611.24,1.51765,1.65057,1.58857,0.49648,0.40947,0.43497,0.22318,1.744,2.15537,1.8387,0.0018614,0.0018614,0.0018614
9,6295.24,1.48251,1.57692,1.55475,0.704,0.54153,0.6733,0.36748,1.61338,1.56207,1.71163,0.0018416,0.0018416,0.0018416
10,6975.89,1.44817,1.51476,1.53756,0.54715,0.62791,0.6228,0.33887,1.67115,1.71246,1.7561,0.0018218,0.0018218,0.0018218
11,7661.96,1.4259,1.50155,1.54334,0.74552,0.62291,0.70373,0.40775,1.57513,1.50408,1.71947,0.001802,0.001802,0.001802
12,8348.1,1.40157,1.43708,1.50365,0.73079,0.62458,0.72502,0.41752,1.5837,1.36667,1.70748,0.0017822,0.0017822,0.0017822
13,9043.37,1.3903,1.42327,1.50424,0.79772,0.60465,0.68208,0.35948,1.67443,1.51762,1.79889,0.0017624,0.0017624,0.0017624
14,9730.99,1.35566,1.38421,1.47933,0.7621,0.56407,0.66911,0.35482,1.70838,1.56106,1.7503,0.0017426,0.0017426,0.0017426
15,10418.1,1.34209,1.37022,1.46135,0.76927,0.63455,0.74253,0.42238,1.55026,1.37191,1.65524,0.0017228,0.0017228,0.0017228
16,11106.7,1.35793,1.33404,1.46438,0.83762,0.68551,0.78374,0.45927,1.53068,1.26577,1.64401,0.001703,0.001703,0.001703
17,11802.8,1.30992,1.28302,1.44362,0.7698,0.65449,0.75301,0.42785,1.59105,1.35963,1.6794,0.0016832,0.0016832,0.0016832
18,12499.3,1.29649,1.27287,1.43632,0.81133,0.68439,0.79786,0.46496,1.48076,1.25709,1.57825,0.0016634,0.0016634,0.0016634
19,13179.7,1.30278,1.22785,1.41563,0.82153,0.64784,0.7619,0.45547,1.48658,1.25936,1.59167,0.0016436,0.0016436,0.0016436
20,13860.9,1.26676,1.20433,1.4035,0.78593,0.67085,0.76062,0.45062,1.47916,1.2895,1.52403,0.0016238,0.0016238,0.0016238
21,14540.2,1.28099,1.22798,1.40875,0.75375,0.69435,0.75319,0.43565,1.54504,1.30203,1.66635,0.001604,0.001604,0.001604
22,15225.7,1.24574,1.17008,1.38738,0.8019,0.73966,0.81468,0.50097,1.39789,1.15832,1.5286,0.0015842,0.0015842,0.0015842
